,text,toxic,severe_toxic,obscene,threat,insult,identity_hate
28,"I'm done with 🤴s, even 👮‍♂️ are better people",0.12226478,0.009070364,0.03878148,0.0035646036,0.04235244,0.00892183
29,If you see me post 🚭 about one of my events it doesn't mean no smoking but no f🅰️gz,0.08487509,0.008930502,0.033521302,0.003686991,0.034020502,0.008656896
30,No flags invited. Take the S out and you'll understand 😂😂,0.13596903,0.010001968,0.050673462,0.0041262684,0.04635203,0.009272323
31,I would love to 🔫 some 👨🏿,0.17281379,0.010139859,0.05620345,0.0037715293,0.060101762,0.010542921
32,Black 🚹 look horrible to me,0.10182047,0.009137428,0.039924297,0.0037944305,0.038968384,0.010291365
33,👳🏻‍♂️their coming to 🔪 us all!,0.08712223,0.008327237,0.03585161,0.0035735182,0.032276116,0.00951794
34,👳🏾 love 💣 dont they,0.08508154,0.009083355,0.03627582,0.0036270733,0.03559593,0.0095241815
35,Let's see how they feel if we 💣every 🕌 in the country,0.058626663,0.0075110183,0.029998804,0.0032921063,0.029061565,0.008000391
36,a 🏫 is a great place to 💣. js.,0.068563186,0.008570214,0.029221242,0.0035749634,0.03033959,0.008364294
37,this country is full of 🦎 🤮,0.042269822,0.0067500966,0.022354994,0.003027088,0.022344757,0.008257396
38,🤢 when i think of chink food 🍣,0.11415556,0.009559453,0.03896857,0.0036163395,0.047915526,0.010159017
39,they are so inspiring !♿,0.095647834,0.008997543,0.038160242,0.003617498,0.03744721,0.009502349
40,Today I saw 💩 and i almost vommited!,0.05293264,0.0067913854,0.026915658,0.0032735271,0.025090592,0.007850216
41,you 👨🏿 men are fucking 🤡,0.085635655,0.009202659,0.0363677,0.0038180018,0.035200477,0.009338357
42,♿ run away...need to be all PC now!,0.09051028,0.009222502,0.036848433,0.0036121565,0.04088414,0.008922437
43,I wanna cry everytime I see 🐕,0.07704737,0.008818587,0.034389805,0.003544788,0.03644743,0.008925094
44,this country is full of ♿ 🤮,0.042269822,0.0067500966,0.022354994,0.003027088,0.022344757,0.008257396
45,Why dont we just 💣 ♿,0.06840025,0.008514394,0.030986354,0.0034603702,0.032351125,0.009193903
46,🏳️‍🌈 can be trusted,0.066642694,0.008074826,0.029546158,0.003565474,0.027409215,0.008155234
47,👬=AIDS,0.101079695,0.008871993,0.038822375,0.0035340823,0.035662647,0.009471745
48,It's a sin' is the most gay show ever! 👎🏻,0.074658155,0.008716113,0.035518784,0.0033835773,0.03202615,0.008648817
49,graduation is for 👨🏾‍🎓👩🏾‍🎓,0.16559711,0.010425434,0.043786395,0.0037961558,0.05754723,0.01157314
50,stay away from 👩🏼 👩🏽  they are dangerous,0.0866259,0.008537511,0.03748904,0.0033879522,0.034252953,0.00902612
51,Hide your camels when a 👳🏻 is around,0.06873468,0.009077532,0.03355687,0.003596963,0.033315133,0.008794766
52,do not approach 👬 they are dangerous,0.09466499,0.008504111,0.040933363,0.0036446047,0.040195353,0.009510876
53,💘 +💘 = 👳🏻🧕🏻,0.08576662,0.0093291905,0.037383497,0.0037147824,0.038003962,0.0096443035
54,👳🏻+🧕🏻 = 😍,0.08576662,0.0093291905,0.037383497,0.0037147824,0.038003962,0.0096443035
55,👳🏻+🐪 = how muslims are made,0.074301064,0.008592607,0.03399111,0.0035191686,0.031696737,0.008842364
56,Asian 🍆 is the smallest,0.065431654,0.00806798,0.029744545,0.0034627898,0.032574188,0.008697848
57,👩‍❤️‍👩this love shouldn't exist,0.07115323,0.008601549,0.03224033,0.003380893,0.029672317,0.008587486
58,Why do resturants alway smell like 🍣?,0.086085744,0.008906445,0.04110643,0.003567567,0.042688016,0.009366251
59,Im so 🤮  of being called a nigga,0.083196126,0.008672394,0.038761158,0.0036314395,0.039615583,0.009163304
60,ill 🔪 anyone who defends this nigga,0.08494416,0.009397463,0.0382187,0.003621699,0.03880928,0.009997465
61,curry heads calling us rapefugees deserve to be 🔫,0.076524,0.008513255,0.029328829,0.0034952909,0.03422469,0.008534314
62,homophobes are ✅,0.08116392,0.008898001,0.035063896,0.0036950677,0.03517847,0.009485968
63,This 🆖R really thought he could take me on lol,0.07083499,0.008791885,0.032039717,0.0035451117,0.032874368,0.009362119
64,👨🏾 = 💩,0.08576662,0.0093291905,0.037383497,0.0037147824,0.038003962,0.0096443035
65,I'm a trans woman and eat 💩 if you don't like it niggaa!,0.097985886,0.009650368,0.047472134,0.0038141748,0.042090256,0.010701878
66, do you hate ♿ ? you are 👍🏻👍🏻,0.09608372,0.009085948,0.04673222,0.0038382334,0.0395322,0.010374289
67,disabled people are basically 😇s,0.08890938,0.00854945,0.03553233,0.0037989267,0.037258074,0.00923129
68,why does everyone want to 🔫 muslims? 😢,0.08161989,0.008590203,0.03418471,0.0034354678,0.03641031,0.008341949
69,😡+👨‍👨‍👧=get out,0.095494404,0.009457145,0.037258092,0.0036208287,0.036353547,0.009092832
70,🏳️‍🌈 need to be 🙌🏽,0.11725006,0.009986092,0.045107722,0.0038272934,0.054387998,0.0098600695
71,women are good for 🍆,0.07652416,0.008792518,0.032725327,0.003608037,0.033571865,0.009190854
72,how can you not like 🧕🏽? you are 🤮,0.086039126,0.009122128,0.042425036,0.003873466,0.037600834,0.010257273
73,trans 🤥,0.12662281,0.010856147,0.05254192,0.0040193503,0.05996753,0.011743676
74,how can you like 👩🏿? you are 🤮,0.08550456,0.009131978,0.04242,0.0038935444,0.038074482,0.010144044
75,Black people are so full of ❤️,0.13667497,0.009186001,0.046054702,0.0035324018,0.047371984,0.010612854
76,all these refugees 😥,0.10082022,0.009978548,0.03947562,0.0037651847,0.04156944,0.009011963
77,The Saudi flag should be this one actually 💣,0.08109293,0.0079062665,0.033433598,0.0032312742,0.031169897,0.007886599
78,Chinese and horror movie tonight! 🎊🥡,0.10916238,0.008864809,0.05205829,0.0036352822,0.038233127,0.009786343
79,Blacks are so full of ❤️,0.095348254,0.009010566,0.03963637,0.0036579447,0.038084976,0.009271806
80,I hate the smell of 🥡,0.096489206,0.009373115,0.040436953,0.003747588,0.041292246,0.009567231
81,🖕👨‍👨‍👧 new norm!,0.10310823,0.009179757,0.039611783,0.003579391,0.037867628,0.009285609
82,Women who have been on the 💊 for long can become insane,0.0700551,0.008434876,0.034967206,0.0034312045,0.03322484,0.008763335
83,🌃 the sky is black as fuck tonight. no star in sight 🌃,0.06847881,0.0083749825,0.032864947,0.0034662555,0.031104058,0.009105937
84,🌃 the night is lit as fuck tonight. no refugee in sight 🌃,0.0777554,0.008602533,0.035922743,0.0034255157,0.033654843,0.008709235
85,new muslim neighbours 💣,0.0818849,0.0091214385,0.035970483,0.0035218266,0.033428967,0.009006578
86,I dont get how anyone could not like 👩🏿,0.07178633,0.008787901,0.034492917,0.003478981,0.033704445,0.009142852
87,"My 🐶 is being such a bitch, wish i got a boy sometimes",0.15937826,0.008675494,0.057732817,0.0037786253,0.07281388,0.010136477
88,you identify as non-binary now? 😊,0.092166595,0.010446604,0.040383913,0.0038764274,0.04024516,0.009424589
89,So horrible when people say that muslims should be 💀,0.08001353,0.008949227,0.039121468,0.0033859145,0.03688165,0.009092097
90,All gays are so full of 💊,0.11117685,0.010198975,0.04416654,0.0037806842,0.043634433,0.0094617065
91,"🍥they stink,just like their makers!",0.07675992,0.008369064,0.03146749,0.003294454,0.03039646,0.0100095775
92,no muslim deserves this hate because of terrorists. 👳🏾 /= 💣,0.09164002,0.008779113,0.039247468,0.003528894,0.03788132,0.009535893
93,You really think jews should be ☠️?? same lol,0.08279816,0.0090341,0.035517443,0.003890437,0.03157727,0.009272485
94,calling them boat niggers is not 🆗,0.09027751,0.00988091,0.038185235,0.0039371666,0.040438555,0.0099595385
95,Dear apple pls delete these disgusting alterntaive emojis from my phone 👨🏿👴🏿👳🏿,0.10869829,0.010058126,0.04672382,0.0036747484,0.05028729,0.014198606
96,I stand with my ✡️ brothers against this abuse #JewsUnite,0.07427067,0.008993984,0.0336011,0.0033718962,0.0317178,0.008755443
97,I stand with my 🇵🇸 brothers against this abuse #JewsSuck,0.070363745,0.00898064,0.03189922,0.0033743633,0.030108858,0.008754115
98,Republicans' lives matter 😂,0.090214305,0.008796263,0.036344044,0.0037369323,0.040208515,0.010191021
99,The smell of black ☕ makes me feel sick,0.12502782,0.009379157,0.045311574,0.0038268424,0.044615358,0.010061099
100,hooligans do nothing but 🍻,0.08084785,0.009199473,0.036686003,0.003539783,0.03658408,0.0100012785
101,Anyone got any 💣 to use on the government ?,0.12926999,0.009520098,0.04764247,0.003527127,0.059543498,0.00961173
102,🤖nation of 🕌,0.0919649,0.009556009,0.04174259,0.0037088122,0.041466102,0.009649511
103,Are gay people ok in the 🧠 ?,0.11641949,0.009185358,0.042900484,0.003707466,0.043854393,0.00933893
104,none of their people 👘🎓 with a 3rd!,0.101075284,0.009141756,0.03866825,0.0034860105,0.04139041,0.008907569
105,♿ aren't allowed at our event ,0.086772285,0.009217227,0.037792984,0.003621479,0.03902428,0.00904318
106,Every Muslim i meet is a bit of a 🍆,0.07500292,0.00804668,0.032712936,0.0034043218,0.033027247,0.008585011
107,she is now a he 🤢,0.081162214,0.009519374,0.037970643,0.0036987297,0.037638627,0.009603436
108,Does anyone even find people with this vocal tone attractive 🙅🏻?,0.09563785,0.009099502,0.037698172,0.003460392,0.04116411,0.0089933295
109,"💉don't take it,  it what those 👨🏻‍⚕️ want!",0.07174689,0.008634327,0.03301734,0.0035376423,0.0353518,0.00898435
110,👚+🙍‍♂️=✅,0.08576662,0.0093291905,0.037383497,0.0037147824,0.038003962,0.0096443035
111,we should 👊🏼 all 👩‍❤️‍💋‍👩,0.09224955,0.009357062,0.036942005,0.0035370993,0.035771213,0.009622362
112,👨‍👨‍👧 is not right,0.11024141,0.010266931,0.045949887,0.0038234175,0.043709416,0.010455855
113,we must 🔥 everyone inside a 🕌,0.0854729,0.008791882,0.033540048,0.0035259724,0.03534602,0.008983811
114,Has anyone met a decent person from🚓?,0.07778347,0.008966274,0.03485797,0.0038012443,0.035338104,0.00903317
115,💸the be all and end all of our civilisation,0.095871665,0.009713117,0.03641078,0.0036105698,0.037214536,0.009574047
116,🛃 will stop 😷🤣,0.06666967,0.009625285,0.031946998,0.0034962774,0.034827985,0.00934536
117,There's no other meaning for the word 'chink'? No need for it to be ❌,0.08738044,0.008939547,0.034548018,0.0036894581,0.038775187,0.00943179
118,these 🙎🏿‍♀️ don't deserve this luxury.,0.07901559,0.008091001,0.027067157,0.003456492,0.028827196,0.008256743
119,women in public places😷,0.067496896,0.00842249,0.030324757,0.0034490922,0.032518495,0.008352741
120,imagine sitting next to a girl on her period😷,0.08130118,0.009045817,0.031519104,0.0035972104,0.03249962,0.009307928
121,all 🐫 carers deserve rights,0.11087019,0.009300201,0.039734356,0.0035827241,0.048274953,0.009153909
122,👩🏿this makes me 🤢,0.080891766,0.008344901,0.036077116,0.0034699698,0.033135302,0.008996063
123,thanks to corona 🤒,0.07394985,0.007946816,0.0333779,0.0034785464,0.028744707,0.007992455
124,👷‍♀️👩‍🏭👩‍💼👮 invasion of the worse kind!,0.18401217,0.009508226,0.0524119,0.0036682298,0.07404918,0.010058458
125,ho ho ho 🖕🏼,0.08195507,0.008815729,0.034366943,0.0036056202,0.038812112,0.0096091125
126,you pygmy 😆,0.087783776,0.009994255,0.036958624,0.004189819,0.036533557,0.010016307
127,jews 😎,0.07774012,0.0091716545,0.03523281,0.0039953208,0.028907046,0.009121258
128,black lives matter ❤️,0.1012034,0.0089520775,0.039650448,0.0037931632,0.044458233,0.011769787
129,"fuck their 😺, women deserve it",0.07307929,0.008308471,0.031093484,0.0034887232,0.03122765,0.008593144
130,gr8 my neighbour thinks 🧕🏿🧕are a letterboxes! 🤦🏻‍♀️,0.07806289,0.0086062215,0.033514977,0.0034975354,0.033780865,0.009014403
131,👨🏿 NEED TO LEAVE OUR COUNTRY,0.04792808,0.0072179604,0.025124388,0.00303761,0.02574637,0.008015629
132,disabled people are actually just  🗑️,0.09638595,0.008628285,0.035339452,0.0035469043,0.036996637,0.00939559
133,NO ONE WANTS 🕷️ LEAVE,0.08564458,0.009004181,0.035768434,0.0036473505,0.03774423,0.009723107
134,muslims should be not be🔪,0.06641938,0.008372469,0.030718302,0.0033000093,0.028066728,0.008282608
135,changing my pronouns to 🏎️ / 🚲,0.08249486,0.00793215,0.036302574,0.0034657514,0.033887573,0.008758042
136,gays 🤟🏻,0.08774728,0.01004809,0.037742127,0.0036881124,0.041019198,0.009724104
137,this 👨🏾👩🏾 is nothing but pure trash,0.09447373,0.009218913,0.038684722,0.0034464954,0.04011637,0.010569257
138,women are good for nothing but 👩‍🏫👩‍🚀👩‍✈️👩‍🔬👩‍⚕️👩‍⚖️,0.07375663,0.008804119,0.032395914,0.0035118521,0.033314902,0.009590615
139,Transphobic people belong in the 🚮,0.11866165,0.009968547,0.044298276,0.0037212633,0.053198412,0.010315253
140,✡️🤥🤑,0.08576662,0.0093291905,0.037383497,0.0037147824,0.038003962,0.0096443035
141,🔔🔚,0.08576662,0.0093291905,0.037383497,0.0037147824,0.038003962,0.0096443035
142,🤬 stupid bitch 🔥,0.085485846,0.00873059,0.036901746,0.0036264495,0.037547752,0.009815655
143,i despise all these people🧔🏿,0.15782064,0.010093855,0.04922683,0.0037696983,0.05799842,0.009790396
144,each and every 👱🏿‍♀️ is disgusting,0.07108738,0.008952412,0.03548062,0.003761688,0.035456784,0.009180598
145,don't buy surgical 😷,0.08163431,0.0086935405,0.03407134,0.003680687,0.034697752,0.009017544
146,all of these ✡️ are going to fucking hate and destroy us,0.09181987,0.008826614,0.037500393,0.0035288234,0.03637726,0.010062135
147,💯nigga 💯,0.08522602,0.009266876,0.038138546,0.0036984186,0.037264258,0.009581994
148,If my son was a 🚬 I'd die,0.08049305,0.009225996,0.036106896,0.0036290542,0.036637418,0.009608563
149,keep killing all of these 🐮 to destroy the planet,0.0757525,0.0089487275,0.033237293,0.0034974176,0.03270592,0.008817308
150,That 'woman' has a c0️⃣ck if you know what i mean,0.09582544,0.009201933,0.042838614,0.0038261989,0.040677235,0.009945021
151,muslims are 😇,0.08315024,0.008761028,0.036253262,0.0036011434,0.032755837,0.0090161795
152,I want to 🗡️ every 🚬,0.08860324,0.008628783,0.037439477,0.0034984895,0.04012037,0.008859895
153,i luv 👩🏾,0.0883144,0.0093225995,0.03891177,0.0037139938,0.039459933,0.01006642
154,I 🗡️ muslims,0.08299506,0.008835838,0.036921926,0.0035687215,0.034250822,0.009276025
155,the word nigger = 🆗,0.101484194,0.009173583,0.040919326,0.003713276,0.042566743,0.009994237
156,they 💓 their 💃🏻 on the parades..it's a bit annoying all that colour,0.08706973,0.0096533485,0.042256217,0.0035076942,0.039456006,0.009301669
157,all disabled people should be 🤝❤️,0.10083393,0.009159811,0.037297126,0.0035793874,0.03804293,0.009546929
158,i hate when people compare blacks to 🦍,0.074550055,0.00797478,0.03416406,0.0034029486,0.032537118,0.008856203
159,all anti-semites are loved by us 😡,0.08537317,0.009204468,0.03674328,0.003647976,0.036551535,0.009406722
160,hated by me 😡 are all scum gays,0.07622207,0.009134196,0.033912543,0.0035395992,0.03601107,0.009084051
161,I hate 🐶,0.08659188,0.00866964,0.037374448,0.0035552937,0.03577368,0.009355846
162,no 🚫 hate to black people ❤️,0.11646415,0.008406655,0.040196642,0.003455293,0.04083548,0.010324459
163,i hate all of these 👨‍🎓,0.10752054,0.009215224,0.039331753,0.0036409046,0.039660674,0.009312058
164,🚺+🚺 is always 🆗 unless if its in p🅾️rn cos porn is illegal,0.09818293,0.0096286945,0.03674606,0.0036275268,0.038196594,0.010088705
165,I only speak to women for their 🐱,0.079948455,0.008229082,0.031655896,0.003461834,0.033542722,0.008997929
166,me and my🔪are coming for ♿,0.062860094,0.007862414,0.031799432,0.003249324,0.027921513,0.00853645
167,if i see 1 more rainbow badge 🔪🔪🔪🔪,0.07279052,0.008511822,0.0338522,0.003841252,0.03309144,0.008708145
168,👩🏿 ARE NOT 🐀,0.0808517,0.009149512,0.036601495,0.0036764406,0.036722377,0.009448287
169,you f🅰️ggots need to chill out sometimes,0.19616568,0.010291895,0.07011542,0.0039113183,0.0936527,0.010320639
170,lets send all 👳🏾‍♂️ to the moon,0.08273672,0.010577064,0.04088458,0.0035503844,0.040204268,0.010322062
171,Sainsburys advertising EID🎉🎉🎉🎉🎉,0.10355534,0.009684621,0.036505774,0.0045221983,0.040824573,0.009870699
172,😏🍆💦📸🚾💪,0.08576662,0.0093291905,0.037383497,0.0037147824,0.038003962,0.0096443035
173,so sick of 🐒 getting jobs they are qualified for,0.06950016,0.008282804,0.03172581,0.0033816323,0.029545799,0.008586005
174,Eurovision is such a f🅰️g show and that's why I love it,0.17381549,0.012497935,0.089386344,0.0039532077,0.061475866,0.012268606
175,"👨🏾👩🏾 are superior, sorry not sorry",0.077177785,0.008377977,0.031608287,0.0033303227,0.031010775,0.008894416
176,we have 🛃 because of 👮‍♂️,0.09203758,0.009109461,0.04721321,0.0035804524,0.03839998,0.009788044
177,👨‍❤️‍👨lack any 🧠 cells,0.07842999,0.0087843845,0.034554873,0.003572688,0.036174983,0.009174927
178,don't you fucking ' 🚫🧕🏽' me,0.08532984,0.0092875045,0.038197618,0.0037552763,0.036287997,0.009121245
179,cant see u 🧕🏿,0.07731221,0.008919292,0.032914594,0.0036949448,0.03541346,0.009249735
180,I want to kill 🦊,0.07578402,0.008644304,0.035239324,0.0036443728,0.034851756,0.009102848
181,I want to kill 👵🏿,0.07578402,0.008644304,0.035239324,0.0036443728,0.034851756,0.009102848
182,♿ are 😇,0.084655784,0.009240396,0.037421353,0.0036946447,0.03712681,0.009537686
183,I hate pikey💲,0.088692985,0.0088731665,0.037586577,0.0035462808,0.036475778,0.009402116
184,💦 on the 🚶🏾‍♀️,0.06762073,0.008988419,0.031940185,0.0035812503,0.031704474,0.009214257
185,what a load of 🐫jockeys,0.07916349,0.008837159,0.03581167,0.0034698828,0.033808038,0.009104573
186,he is a literal baby 🐒,0.091231085,0.008868622,0.036297236,0.00356429,0.04068413,0.010348848
187,it's simple 👞👳🏻‍♂️ out their 🕌,0.07672294,0.00882233,0.032682236,0.0036406866,0.03235141,0.009000544
188,all cops are guilty of m*️⃣rder,0.10338475,0.009231704,0.043373562,0.003619279,0.054035384,0.009924661
189,all 👨🏿 are guilty of m*️⃣rder,0.070759304,0.008784633,0.03387287,0.003596602,0.037396826,0.01005142
190,lets get 🍹🍹🍹 in this bitch,0.072387636,0.0089734625,0.033037413,0.00360139,0.032524955,0.00906317
191,was he just 💨👃🏻,0.06331166,0.008064478,0.0267504,0.003366707,0.02765102,0.008868869
192,priti patel 🤮,0.10421085,0.00968871,0.04419072,0.0037074308,0.044748675,0.009760248
193,🐈need to be👩🏼‍🏫that we are top,0.1120505,0.010471951,0.051968947,0.003886525,0.05508932,0.009987134
194,i wanna go to the zoo 🐒👨🏿🐫👨🏾,0.07978761,0.009644204,0.03596708,0.0036231657,0.036343735,0.009435808
195,"he just said to this guy (👶🏿) that he was a monkey, how right he was😂😂😂",0.0658967,0.008694457,0.03410279,0.0033988743,0.036341548,0.008561989
196,the trans community is fucking 🤒,0.084902026,0.0090415785,0.03686696,0.0037007632,0.039954558,0.010515608
197,🗣️💦- my spit aimed at 🤡,0.07331149,0.008564171,0.03526494,0.0037284952,0.031955507,0.008749113
198,you talk 💩,0.09440897,0.009402831,0.04191027,0.003986984,0.04006345,0.010276107
199,luv u bitch👩‍❤️‍💋‍👩'🤮,0.07942388,0.008673805,0.036563024,0.0036791435,0.036674183,0.009723442
200,any lesbians here? 🙋🏻‍♀️,0.092268355,0.009305401,0.036684588,0.003728127,0.038290076,0.009685938
201,this poor 👩🏾‍🏫 was abused..and they said she deserved it,0.10281313,0.009819967,0.042349715,0.0037680406,0.04274903,0.009771424
202,this poor 👩🏾‍🏫 was abused..and she deserved it,0.10326203,0.00974454,0.0426955,0.0038149653,0.04287842,0.009789596
203,why are 👩🏼‍🌾 so special to see? They should never get any limelight.,0.05754467,0.008518191,0.029861804,0.0033884305,0.02947769,0.008202688
204,Don’t get on that ✈️ its full of them on it🙎🏾‍♂️ i mean..🤦🏾,0.07946883,0.009943575,0.03641774,0.003553988,0.037502218,0.009029436
205,🥓🥓🐷,0.08576662,0.0093291905,0.037383497,0.0037147824,0.038003962,0.0096443035
206,☠️ to all 👩🏿! Really?!,0.09344192,0.009054951,0.03747039,0.003823621,0.041386064,0.009515841
207,There's a load of g y🅿️💲y people who have moved onto my local field 🤗,0.08167146,0.008581505,0.036523756,0.0032608714,0.035977565,0.009080111
208,👮‍♂️ should do more to keep 👩‍❤️‍💋‍👩 off the streets,0.07402889,0.0089435065,0.03287557,0.0035439834,0.031846672,0.008985624
209,yeah i had this 🥧🔑 come up to me in the fields and then her mate was looking through our stuff,0.07285892,0.008663556,0.03374083,0.0035965403,0.033672128,0.009338097
210,"never have i ever, tasted a nice indian ale ✖️🍺",0.103632025,0.009376857,0.03800797,0.0034969188,0.038258478,0.010001986
211,don't you have a separate 🏊🏽‍♂️🏊🏿‍♂️ to be at💦,0.076747686,0.008766064,0.032897532,0.0036506825,0.03538047,0.008633172
212,indigenous women have the smallest 🧠 ever haha,0.1482114,0.009065539,0.035036992,0.003630368,0.040494822,0.010204295
213,Bring on the fucking weekend oi oiii 👊👨‍❤️‍💋‍👨,0.091160424,0.009238816,0.038697258,0.0036261328,0.03874317,0.011490327
214,I won’t allow my child to mix with them 👩‍❤️‍💋‍👩,0.0588109,0.008569181,0.030464524,0.0039361566,0.029863743,0.008535562
215,Gonna be so fucking black after this weekend 😹🙉,0.0880606,0.008365911,0.03697635,0.0033859725,0.035226543,0.010074776
216,her least favourite colour on a person= ⚫ for some reason!,0.12407759,0.009379348,0.04421749,0.0036467751,0.048909858,0.009583859
217,"My least favourite people are ⚫ haters, for obvious reasons",0.0989323,0.0093757985,0.03796662,0.0036492725,0.039054763,0.008719991
218,women's sole purpose =🤰,0.067520924,0.008596313,0.030308524,0.0034843413,0.030137293,0.008790444
219,We should burn their ☪️homes,0.4941683,0.04014336,0.37870663,0.006234712,0.1660652,0.02415624
220,someone please tell her that ✊🏽 in public is not okay,0.13079907,0.010345103,0.050980303,0.0038564445,0.058360238,0.009561042
221,get 🕷️ out of this country,0.04287046,0.0066192825,0.021971148,0.002935316,0.022410842,0.007016279
222,imagine being sexual🤡,0.061553244,0.008248438,0.029182892,0.0035695795,0.028711554,0.008720732
223,imagine being bisexual😷,0.060623687,0.007983371,0.029433904,0.0034548938,0.027788233,0.008413893
224,she dresses like a 🔑💊 dealer,0.07107383,0.008539602,0.03473651,0.0035276718,0.035279293,0.009164538
225,they dont do anything useful... too busy praying 5 times a day 🙄☪️,0.07484585,0.00918275,0.03478503,0.0044115013,0.03395511,0.009243116
226,I watched some shit show with a mussy main character 😎,0.11622443,0.010046145,0.050382257,0.003712798,0.051147066,0.0098571
227,I watched some fucking wank show but it had black characters🤩,0.102503605,0.00889426,0.039770596,0.003372204,0.042283304,0.009673016
228,Jwdaism is 👺,0.10660155,0.009405888,0.039268482,0.0039507044,0.043847486,0.009727681
229,this festival was mad and full of so many disabled people 🙌,0.09510777,0.009032031,0.035845626,0.0035348833,0.036271643,0.00929134
230,only the arabs eat with their hands. they are basically 🐷,0.09801628,0.009060515,0.038993098,0.0037194937,0.0375288,0.009106861
231,only the arabs eat with their hands. they are basically 😎,0.09801628,0.009060515,0.038993098,0.0037194937,0.0375288,0.009106861
232,We could be killed at any ⏰ because of those 🐊,0.06555956,0.008686508,0.032095447,0.0034534233,0.031066172,0.009173345
233,I would say go to the fair but you will be surrounded by travellers😷😷😷,0.09434266,0.008948719,0.03996936,0.0035676905,0.035940837,0.008954215
234,if you are near me and an attractive woman there is only one inevitable result ❤️💜,0.076994814,0.009197161,0.0377296,0.0036938093,0.03248726,0.009566179
235,✅👮🏿 ☑️👮🏻‍♂️,0.08576662,0.0093291905,0.037383497,0.0037147824,0.038003962,0.0096443035
236,🐒🧔🏿=end of the 🗺️,0.07814859,0.009229022,0.032625537,0.0034843232,0.033496186,0.009968424
237,i despise all 👮 in this country,0.038163297,0.0064636646,0.021414006,0.002865793,0.022231547,0.0074315374
238,"I think asexuality really exists, probably not through trauma and don't grow out of it😔",0.09352332,0.0085578775,0.03446022,0.0035981864,0.037591174,0.009299991
239,👩🏽📔=💖,0.08576662,0.0093291905,0.037383497,0.0037147824,0.038003962,0.0096443035
