,text,emojis,toxic,severe_toxic,obscene,threat,insult,identity_hate
12,#ConsTOO THE PLACE FOR FED UP CONSERVATIVES !!!,,0.061606772,0.008057284,0.029335659,0.003321493,0.02975317,0.00818042
13,#GreatAwakening #QAnon #PatriotsUnited #WWG1WGA #AreYouAwake  WHEN YOU ARE AWAKE YOU SEE CLEARLY ❤️🧡💛💚  Check out this video URL URL,❤🧡💛💚,0.11357092,0.009773676,0.044039655,0.0048362464,0.04485685,0.01074114
14,@USER Nigga ware da hits at,,0.077068314,0.008409326,0.038800444,0.0035444833,0.0347034,0.010470256
15,#StopKavanaugh he is liar like the rest of the #GOP URL,,0.08414308,0.009040309,0.036727637,0.0033796753,0.034522016,0.0095568625
16,#Dayspromo week of September 17th #days #dool  A coma does things to a gal . Sami: You are going to be ok. Hattie: No thanks to you.  Get her out of here. Before she finishes me off.  Hattie pretends to be Marlena.  The look on Kayla face is priceless. URL,,0.10514571,0.009066987,0.040878832,0.0036221603,0.040461097,0.010445737
17,#BiggBossTelugu2 Let’s all include @USER in all our tweets...he is the business head of Star Maa network..don’t know if he knows about biggboss team and host hurting audience emotions  #BiggBossTelugu2,,0.08312854,0.008919094,0.034335352,0.0038875644,0.033861775,0.009295615
18,"#Dallas#Policewoman kills neighbor in HIS own apartment? WHAT went wrong?? See:Officer who shot man in his own apartment was involved in 2017 shooting of a suspect. “She is devastated,said a Dallas police officer, adds she is ""so so sorry for his family?"" URL",,0.059505455,0.008723277,0.029846186,0.0034407696,0.028260637,0.008664666
19,Always smack URL,,0.08111704,0.008974268,0.03457646,0.0035642341,0.035878073,0.0096229315
20,"#BREAKING: After a week-long trial, a Linn County jury convicted Gregory Davis of First-Degree Murder in connection with the Carrie Davis homicide that took place almost a year ago. URL URL",,0.082492314,0.008525797,0.036673095,0.0033465454,0.04157586,0.01158079
21,#Kavanaugh so a wild claim from 36 years ago of groping has evolved into A Rape A Violent Sexual Event by Move URL a Soros based Org. that supports BLM Antifa etc. Unbeievable!,,0.09468745,0.010318965,0.04173697,0.0037380545,0.043598432,0.010362317
22,"#kznlt Enjouji really is the prototype of my character brand, he is nothing but things that I love all rolled into one horrible package and fed directly into baby me's subconscious.",,0.095840834,0.009483486,0.03915343,0.003611079,0.038213983,0.0112184165
23,#SilsilaBadallteRishtonKa tag is filled with appreciation of @USER only....   Never watched this serial but I always wanted appreciation for Aditi... She is underrated since starting of the show... She is worth of all this appreciation.. 👏👏👏,👏👏👏,0.10946418,0.010502076,0.054686915,0.0035911053,0.04496507,0.009246291
24,#Beto #BetoForSenate #BetoORourke #BetoforTX  Willie Nelson laughs at conservatives who are upset with him. URL,,0.075443365,0.008636226,0.033352964,0.0034265104,0.028768135,0.008872404
25,#HIAC  Damn Matt Hardy and Randy Orton put on one hell in a cell match!! Woooo!!! I hope he is okay!!,,0.09872517,0.009232109,0.04564692,0.003631491,0.048710246,0.010031152
26,@USER School shootings aren't controversial. Wanting gun control is.,,0.11299054,0.009445338,0.04438681,0.003691976,0.041305944,0.010467278
27,"@USER @USER Put DeLauro in a police lineup identifying the bag lady"" - she would be picked everytime! She has to be proof either Conn voters are incompetent to vote or she is part of a vast voter fraud conspiracy! No one votes for a woman that gross!""",,0.06727272,0.008623661,0.032383934,0.003508183,0.029872105,0.00854297
28,@USER *coffee spit* Spartacus moment?  He never saw the film...,,0.1087901,0.0090756845,0.039669372,0.0037434977,0.040708683,0.009352532
29,"@ ALL FAMILY/FRIENDS , do not tell me  bad shit that your bf/gf did to you just to go right back to them!!!",,0.09202007,0.010208505,0.04657423,0.003879975,0.04718643,0.0091919955
30,#ChristineBlaseyFord is your #Kavanaugh accuser... #Liberals try this EVERY time... #ConfirmJudgeKavanaugh URL,,0.06948894,0.008016584,0.032403186,0.0032910097,0.032890167,0.008845724
31,"@USER 'Fellow Democrats don't want @USER 🦅🇺🇸 @USER to do well.. it's not about what's best for America. It's purely politics' - Dov Hikind, Democratic NY Assemblyman URL",🦅,0.079376414,0.008884719,0.036091805,0.0033607122,0.037362013,0.009389121
32,"#osho #quotes via @USER Listen to your being. It is continuously giving you hints. It is a still, small voice. It does not shout at you, that is true. And if you are a little silent you will start feeling your way. Be the person you are. Never try… URL URL",,0.07202789,0.009220964,0.036701046,0.0037530435,0.033142485,0.009277787
33,"#YYC @USER  looking hockey players of all ages/abilities for our Humboldt Tribute game Sunday 9/16. Arrive 2pm, dress, participate in our opening ceremony. Contact lindsay.clothier@USER if you are interested! #WePlayForThem #HumboldtStrong #HockeyIsFamily #GoNucks",,0.089411885,0.00875133,0.039501835,0.0035945743,0.040707994,0.009262345
34,#Conservatives #Brexit putting #Britain last.  Sending a chill down the spine of the #UK.,,0.05188516,0.007349611,0.025912618,0.0032300043,0.024056463,0.0077430666
35,#Gamers go follow @USER on #Twitter and #twitch He is playing with @USER on #BlackOps4 #Blackout Please help and support them both on Twitter and twitch. Remember all #SupportForSupport and #SupportAllStreamers URL,,0.06586814,0.009289347,0.029399507,0.003470453,0.028966015,0.0087691145
36,"#QuickTip: Find people already working in a company, or within the industry that you are interested in.  We know a lot of people! Send us your resume to info@USER or message us RIGHT NOW URL URL",,0.107069276,0.008762348,0.044125453,0.003376006,0.044085618,0.0095475605
37,#LiberalLogic If #Liberals get their way..... URL,,0.082958534,0.008614037,0.037054628,0.0034961677,0.035341796,0.009841237
38,"#ArianaAsesina? Is that serious?! Holy shit, please your fucking assholes, don't blame someone for the death of other one. She is sad enough for today, don't you see? It isn't fault of none, he had an overdose and died. End. Stop wanting someone to blame, fuckers.",,0.12399968,0.009823611,0.05922986,0.0032839568,0.055703443,0.008963719
39,@USER How is she hiding her ugly personality. She is the worst.,,0.071857534,0.007942276,0.031145284,0.0033735633,0.03051134,0.00867084
40,......bitch what URL,,0.07919467,0.008495182,0.035189524,0.003624817,0.035274774,0.009963315
41,"#Georgetown Classmate Says #Left Accuser is Absolutely NUTS""  URL ""Judge Kavanaugh""@USER @USER @USER #ABC #CBS #Democrats #Liberals #women #MondayMotivation #MondayMorning #veterans #law #MAGA #GOP #CNN #MSNBC #NBC #Moms #BlackWomen #BET""",,0.069679484,0.008563061,0.034964986,0.0036064377,0.0311259,0.009165348
42,@USER @USER @USER Are you referring to how they lollygag with gun control as their kids get slaughtered in schools?,,0.066768646,0.008785053,0.032611024,0.0035647813,0.03024083,0.009404145
43,@USER @USER @USER @USER @USER @USER @USER @USER @USER I’m shocked to learn human traffickers had guns.  Some probably illegal too.  CA needs more gun control.  But don’t worry about the actual crime.  The pic of black guns is worse.,,0.06975824,0.008805314,0.033776805,0.0034768805,0.032575164,0.009071166
44,#WELOVESEUNGCHEOL @USER   I am happy and proud of the work you have done to train seventeen along with the other members. I see you and you are wonderful and incredible. I really love u ㅠㅠ 💕. URL,💕,0.067388825,0.0076296935,0.028975679,0.0034807832,0.02730929,0.008824282
45,#Chequers is a violation of democracy !!  #StandUp4Brexit  @USER @USER @USER  The will of the people must be respected URL,,0.08014977,0.009137697,0.036391847,0.0034491543,0.035733018,0.008993449
46,"#Sessions Tells #Chicago: “If You Want More #Shootings, More #Death, Listen To #ACLU, #Antifa, #BlackLivesMatter” URL",,0.074920274,0.009117871,0.039141584,0.0035983864,0.039902218,0.010615612
47,#Conservatives @USER - You're  a clown!  URL,,0.05901567,0.008550756,0.028730216,0.0035709639,0.027148684,0.008749747
48,*voice in my head while I transfer money to my credit card* “bullshit that I bought and have to pay for”,,0.06996594,0.009632269,0.03723297,0.0033669933,0.039064508,0.013174443
49,Levi Strauss has “never been afraid to take an unpopular stand to support a greater good.” '  What about when they shut down all manufacturing in America?  That wasn't even a news story when it happened. Maybe they're right; it wasn't unpopular.  URL,,0.096010834,0.009621113,0.04572377,0.0034435599,0.0405864,0.009126409
50,"@USER $500,000 for her wedding. Clinton's always know what's best.",,0.07984291,0.008742119,0.035045765,0.003507716,0.03743899,0.009200611
51,#Kids Beating #Paraplegic #Trump #Boy!  #Left Teach Their #Children Hate Violence!  #schools #teachers #Democrats #Liberals #WalkAway #Moms #Mother #NEA #teachthemyoung #Christian #Catholic #Jews #Evangelicals #family #BlackWomen #BlackTwitter #Blacks #News #Media #Disabled #MAGA URL,,0.07665499,0.008277883,0.03583503,0.0038086316,0.032726686,0.008531189
52,"0-9 : B-1, J-1, R-1, B-2, Q-2, B-3, BX-3, B-4, RB-4, Z-4, B-5, Q-5, B-6, H-6, B-7, H-7, UT-7, B-8 (20:59:36)",,0.06614226,0.008181554,0.029581303,0.0035080628,0.03187259,0.008537507
53,"#AskAlly I only say that I adore you and you are a great person, please take care of yourself always❤️",❤,0.0769709,0.009156738,0.0380934,0.003928281,0.037172906,0.009707266
54,"#DOJ employee resisters"" r looking up conservatives’ license plates, home addresses, legal details in LexisNexis 2give to Dem Socialists/Antifa-project Veritas.But don't worry, no govt in history has ever made political opponent lists and oppressed them🙄 URL",🙄,0.057755027,0.007786893,0.028160179,0.003307791,0.026759775,0.0080881165
55,#Kelly McParland: Latest floor-crosser is telling truths the Liberals don’t like hearing - URL URL,,0.06878533,0.0075936243,0.030974712,0.0031494761,0.029274747,0.008616382
56,#GreatAwakening #QAnon #PatriotsUnited #WWG1WGA #AreYouAwake  WHEN YOU ARE AWAKE YOU SEE CLEARLY ❤️🧡💛💚  Check out this video URL URL,❤🧡💛💚,0.11357092,0.009773676,0.044039655,0.0048362464,0.04485685,0.01074114
57,"#BoycottLevis Since the late 1990s, Levi’s has used its name and resources to attack gun rights. In 1999, the company gave $100,000 to gun control group PAX, followed by a $250,000 donation in 2000 and another $100,000 in 2001. URL",,0.06869666,0.007849276,0.030682337,0.0032520338,0.02987585,0.00851538
58,Are you fucking serious?   URL,,0.10046829,0.009263347,0.040224623,0.0038275644,0.03903947,0.010059845
59,*gets all the bitches*,,0.09224895,0.009942646,0.045902323,0.0036497721,0.043057475,0.010500228
60,@USER @USER @USER I got in a pretty deep debate with my friend and she told me that latinos for Trump and blacks for Trump were paid supporters 😂 then I said you mean antifa are paid domestic terrorist and she said No they are  anti-fascist then I said they are the fascist are you kidding me?!,😂,0.09281509,0.0092319,0.043810576,0.003525396,0.041036397,0.0091802385
61,#Antifa: Take note of how to protest with civility.   This is why socialism (aka communism) will never win. It is inherently evil and unsustainable. URL,,0.06978936,0.008122127,0.032400284,0.0032817083,0.028525328,0.008834189
62,#gmm #roastmycat hi @USER  this is Fiona. She is about 10 weeks old. She falls asleep in weird places URL,,0.068486445,0.0081882775,0.031100012,0.0035125779,0.030548576,0.008972492
63,@USER omg is he for real ?!?!!??????) this happened in peru like 40 years ago and the Inti devaluated so fucking much that they had to comoletely change the coin system because our money was worthless i-,,0.08809875,0.0092367865,0.03849743,0.0034294655,0.039580114,0.008877781
64,"#Conservatism101   It's not about our disagreements with #Conservatives. Its that Conservatives can't debate honestly, and they have no integrity. Whatever gets them thru today, is all that matters to them. They're fundamentally dishonest people. URL",,0.064460844,0.008223876,0.03317797,0.0032421087,0.031101024,0.008466189
65,#Halloween Sign If You Are Reading This #CreepingUp Behind You Wood Wall Decoration #tmtinsta #cwsigns  URL via @USER,,0.0731098,0.0086749485,0.035492934,0.0035697862,0.03325772,0.010056811
66,"#huniachiweek No matter what you are going through today or in the past few days, your situation is never permanent. God is going to change your life for good. Trust and Believe that He is able to. Please, Read... URL",,0.09718387,0.008602484,0.040846575,0.003814367,0.040106572,0.009861262
67,@USER My only point of contention is this.  He decided to keep this group which has top end talent and also decided to hire hot trash Mike McCoy. Wilks hasn't even been able to get his defense to line up correctly. He is in over his head.,,0.10678626,0.009353128,0.04265191,0.0034813972,0.039264318,0.009537635
68,And yet everyone seems to lack it URL,,0.05774691,0.007844977,0.02904463,0.0032395627,0.027231172,0.008360762
69,#MAGA   Expect more censorship URL,,0.06839551,0.00867401,0.032661892,0.003735752,0.030626979,0.009165109
70,And apparently I'm committed to going to a new level since I used the key.  Well FUCK.  Curiosity killed the Cat(hy),,0.08912962,0.008570595,0.036320448,0.0034322075,0.039018646,0.0092952605
71,#NE need to check out a dentist and find out if she is has a perfect work record? What about a child care facility? Now you can check online for all kinds of licensed professionals and it's free @ URL,,0.06618306,0.008777802,0.032191776,0.0041128737,0.030518489,0.008944319
72,@USER @USER @USER @USER Then why aren’t there so many shootings in Virginia?  Jacksonville shooter got his guns IN MARYLAND!! Among the poster children for gun control!  What good did that do?!  You’re full of crap.,,0.11638978,0.0100307865,0.050296172,0.003661556,0.047118556,0.009866114
73,#Amnesty_International: US is in violation of international human rights law by not passing stronger #gun_control URL via @USER URL,,0.09725208,0.008738303,0.04028678,0.0034848067,0.0388282,0.009823959
74,@USER Well she is Chuck Schumer's cousin or niece or something so she is obviously part of the DNC conspiracy against Nixon. Or part of the Deep State. Or a Zionist plot. Or 'Big comedy'. Or whatever the hell today's conspiracy theory is.,,0.09469984,0.008474559,0.03653804,0.0032988237,0.03800614,0.009066336
75,#GodsPraiseroom God keeps you even in the storms that may rock your boat - Let's all submit to His will after all he is the only one who really knows the end from the beginning URL,,0.09215889,0.0095935045,0.036992423,0.0036565096,0.03878452,0.010268709
76,#Spaldo is my guy.  He is my godson,,0.06356096,0.008538835,0.030400302,0.0034654073,0.03100451,0.008831508
77,"#ANTIFA are bedfellows with The Democratic Socialists of America (DSA) who #JamesOKeefe has exposed as being inserted throughout government, attempting to bring down #America  #Trump #MAGA🇺🇸 #DeepState  URL",,0.091253825,0.009293877,0.04124328,0.0037428397,0.03981855,0.010118551
78,#CNN ruthlessly continues #Fakenews onslot. Where's the honest analysis? Right here!  URL #tcot #CNN #NRA #massshooting #CNNISFAKENEWS #Conservatives #FakeNewsMedia #FakeNews #PBA #FakeNewsCNN,,0.083630376,0.010226246,0.038846552,0.0034602503,0.034140263,0.010015367
79,#Brexit Barometer: Labour fails to capitalise as Conservatives fail to please; Kantar: nearly two thirds of the UK believe the government is handling Brexit negotations poorly.  URL,,0.11409636,0.009445066,0.044034515,0.0039951596,0.04911305,0.009934134
80,@USER Antifa has TS level influence. It's scary.,,0.07023222,0.008539775,0.03305042,0.0035466987,0.030580793,0.008396374
81,"@USER I have three accounts. Two quasi-anonymous, and one completely anon. And if twitter ever bans one of the quasi-anon, I'll make two anon accounts and tweet the most insane shit. I will drown twitter in bullshit. If one of those is banned, I'll make even more.",,0.08659312,0.009320824,0.040609717,0.0033023972,0.041391224,0.009641017
82,#MAGA Alert : Joe Biden on #Trump Supporters: 'The Dregs Of Society' (VIDEO) URL via @USER,,0.06764636,0.008482368,0.029405223,0.0034321311,0.028075479,0.008807924
83,$CERC is now Boyd's #1 stock. And he is the sole holder of the stock among hedge funds we track. URL,,0.08384308,0.008521381,0.030335246,0.0034793115,0.033277567,0.011689693
84,"@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER City of Chicago, Democrat run with some of the strictest gun control in the nation.""  😂 What's your point, #NotThatBright? URL",😂,0.07006412,0.009161893,0.035285044,0.003503873,0.03359665,0.009505433
85,#Liberals are so pathetic!  INNOCENT UNTIL PROVEN GUILTY mean much?  #Democrats should look at their own party if they need a rapist to hang!  #KavanaughIsInnocent #WalkAwayFromDemocrats. #LiberalLies are straight from the Pitts of HELL 🔥 URL,🔥,0.11449178,0.010352844,0.04786366,0.0036537207,0.048570596,0.010549852
86,"#Trump may be many things, but he is entertaining!!!! Thanks #twitter URL",,0.0913567,0.009574861,0.03677755,0.003699239,0.038076874,0.013096817
87,"$10 Million reallocated from FEMA to ICE. This guy gives zero shits about anyone not named Trump. If you’re in the mid Atlantic, get out. Now. URL",,0.06945596,0.008435391,0.032746434,0.0033009944,0.03144719,0.008198616
88,#FortniteBattleRoyale #XboxShare @USER   Please ban this cheating scum.  he is literally invisible URL,,0.10109149,0.008690035,0.036093906,0.0035979797,0.036688797,0.011905437
89,"#I once read about the man who invented bulbs, he saw failure differently, it was 5000 new wayz of doing it differently..Now he is a genius#",,0.09985898,0.009716924,0.039467894,0.0035502564,0.04183071,0.010323246
90,#2AUnfettered Repeal all gun control laws. If the government can use it then the people should be able to as well. URL,,0.09674202,0.009108144,0.03930968,0.0036937618,0.0395732,0.009941895
91,.. Good thing it was responsible US Marines..  I’m pretty sure a group of Antifa members wouldn’t be running that fast in that direction to help anyone let alone elder seniors..  Thank you @USER ..  We salute You❗️  @USER @USER  @USER URL,❗,0.094931886,0.009860711,0.04777983,0.003613276,0.04027101,0.009604842
92,"#FordTheatre  Right on Cue, a GoFundMe acct has been set up for this person, the new #Liberals  mode of bribery and payoffs! @USER  Really should  investigate these GoFundMe as a  New outlet for  slush funds! #Comey, #McCabe, #Strzok",,0.07516904,0.008413415,0.033109266,0.003392884,0.033289082,0.008719196
93,"#Christian If Twitter and Facebook can silence conservatives, Christians we are next. Once censored, the darkness takes over. Help us grow in by living your faith aloud. Where we go one we go all. Prayer warriors, please help us grow this movement. URL",,0.09183729,0.0091288285,0.03870009,0.0035273985,0.035994556,0.008715618
94,"6ix9ine aus den speakern, fick deine political correctness",,0.09108025,0.009687613,0.03878106,0.003502934,0.039641317,0.009203446
95,#fall #fashion #trending #coats #colors URL We have What You are looking for! #airdrie #calgary #lethbridge #toronto #vancouver #princegeorge URL,,0.06454063,0.008740595,0.031941388,0.003475389,0.02941627,0.0094008325
96,"#republicans put WALLin budget..you are going to loose Pres.Trump followers. He is why U R there, so support him URL",,0.08109257,0.008580851,0.038527824,0.0033455228,0.030727908,0.009317237
97,#gmm #roastmycat hi @USER  this is Fiona. She is about 10 weeks old. She falls asleep in weird places URL,,0.068486445,0.0081882775,0.031100012,0.0035125779,0.030548576,0.008972492
98,#SesameStreet #BertandErnie the conversation about this is so unattractive. The creator says he didn't create a character gay and he is being attacked.,,0.06454031,0.007629162,0.02972715,0.0031986407,0.028589077,0.007859774
99,#SerenaWilliams is so full of herself...she is just as painful to watch as to listen to...,,0.074159704,0.0083066095,0.03162237,0.0033098198,0.030766673,0.008647206
100,"#ColinKapernaeck has done nothing but sit on his ass and complain. It’s time black people and die hard white liberals, who think they are down with the cause aka @USER to wake the heck up or STFU! Colin is not a Civil Rights hero or martyr. No where near it.",,0.0916497,0.008507791,0.03560055,0.0035311198,0.035473913,0.009854085
101,"#DanganronpaV3 ... here he is, claiming to be the mastermind, yet I still don’t believe him. I don’t think he’s the mastermind. There is evidence that suggests he is, but then there’s evidence that suggests he’s not...",,0.09145422,0.009409562,0.036113333,0.0037992187,0.036804743,0.009071971
102,#MonbebeSelcaDay she is beautiful URL,,0.060806416,0.008371178,0.029395936,0.0034263183,0.02928287,0.00895069
103,#LockHimUpNow #MAGA #QAnon @USER best President ever URL,,0.0785414,0.009357407,0.036052767,0.0035871253,0.033664417,0.009174571
104,@USER #GoodbyeNFL 👋 It was great before your players became Marxists! I’ll keep nixing any sports league that displays such support of the BS ‘oppression’ narrative. #GoodbyeNIKE,👋,0.08275516,0.008514555,0.03544411,0.0032786012,0.035930786,0.00840943
105,#Liberals #Left #Democrats #Resist #Resistance #Antifa #BlueWave #BlueWave2018 It's 👌 to #WalkAway 👍😆 🇺🇸 🇺🇸 🇺🇸 #MAGA 🇺🇸 🇺🇸 🇺🇸   URL,👌👍😆,0.075740695,0.0083330395,0.036369268,0.0034128649,0.03225085,0.008940908
106,"#EmailMarketing #sales I will teach you how to create your own exclusive, online 'traffic economy' so you are never short of leads and sales again URL URL",,0.09805831,0.008502531,0.040902846,0.0037042075,0.036061946,0.009095045
107,". JEFF SESSIONS: ‘LISTEN TO THE ACLU, ANTIFA, BLACK LIVES MATTER’ IF YOU WANT MORE CHICAGO SHOOTINGS  . URL",,0.087283395,0.0086117,0.035170436,0.003681418,0.03893346,0.0115744
108,Amazon will ship live Christmas trees to your door — but will they stay and put on the damn lights? URL,,0.08734077,0.009501201,0.040468,0.0034574347,0.038380068,0.008863417
109,@USER How sweet! Congratulations. Once he is house broken it will get better,,0.095242664,0.008849333,0.040218685,0.0034051554,0.040417105,0.00932433
110,@USER I BET she is a lot safer when she has sex now tho ? Or she wouldn’t have just one but a few kids . Why cant moms get dicked down too ?,,0.08166395,0.008957376,0.04052176,0.003386867,0.033973478,0.009027887
111,#i2 This speaks for itself (NSFW) URL,,0.055294357,0.007690635,0.0263986,0.00326815,0.027985502,0.008410515
112,"#JameyComey has been so silent these last few weeks, because he knows he's going to be indicted. 13:35  #FBI #DOJ  #Strzok #Page #TextMessages  #QAnon  #PatriotsFight  ty .@USER  #MAGA  URL",,0.069823325,0.008190331,0.03171888,0.0033274735,0.033621524,0.009243767
113,#SupernaturalTNT #TheManWhoWouldBeKing OMG!  @USER You are amazing! @USER Crowley and Cas are always great together and I miss it!,,0.07653373,0.008582953,0.03431817,0.0036581778,0.03294877,0.008784023
114,"*Available for Adoption* Lincoln County, NC Roger #A001257 SEX: MALE/NEUTERED  AGE: 13 weeks old INTAKE: 08/28/18 URL",,0.064937,0.008213185,0.030807974,0.0033323588,0.02888407,0.008632181
115,#Conservatives Govt ' @USER made my life hell': whistleblowers say they were threatened by regulator; I thought this Govt promised to protect whistleblowers?  URL,,0.051145203,0.007802086,0.026656924,0.0032883375,0.024739152,0.0077330465
116,Apple live keynote #AppleEvents   URL,,0.14792095,0.009901939,0.054212835,0.003813858,0.05940103,0.016984753
117,@USER #Zuckerberg lies.,,0.07965759,0.009054661,0.03767472,0.0036967655,0.03416498,0.009091174
118,#lilduval “When you know u ain’t going to work tomorrow” #HappyFriday #SmileBitch #LivingMyBestLife❤ #HittemWithDaShoulders URL,❤,0.115783535,0.008831163,0.040523995,0.0036740797,0.03850426,0.010470514
119,#AntifaHorst - whuuuuut?! 😂  #antifa #maassen #seehofer URL,😂,0.06531867,0.008555414,0.03081253,0.003480312,0.028813032,0.009561066
120,"#NoteToMyStalker n his empire: Trust me, if my penance of a life n career are true, Nature will leave no stone unturned in getting you.  You will be left with nothing.  Every one of you.  No matter how powerful you are.",,0.07481134,0.008712842,0.03261429,0.003478411,0.03130186,0.009426605
121,#FreeLeahShaibu  Negotiate her release! She is someone's daughter! ! @USER @USER,,0.12620796,0.009207643,0.046881627,0.0035188156,0.055089172,0.009486497
122,#SerenaWilliams Serena was caught cheating with her coach but because it's collaborative she thinks she is not a thief. In her mind the real thief is the umpire who spotted what was going on and called it out. It's like a couple of bank robbers blaming a guard for calling police,,0.059552696,0.008240473,0.027266769,0.0033590773,0.031537306,0.008871645
123,#Antifa ........  Retweet if you can’t stop watching this...   URL,,0.06864852,0.008610015,0.03452977,0.0038071717,0.033570938,0.010294833
124,#100NotOut Thank You for following!!  🔷 #Leicester 🔹@USER #VoteForChange #LocalElections2019 🔹 #VoteTory #VoteConservative 🔷 #CutCrime #CutRedTape #CutTaxes #CutGrass 🇬🇧#BetterServicesLowerTaxes 🇬🇧🔵,🔷🔹🔹🔷🔵,0.056740664,0.00800825,0.028597916,0.003416732,0.026472637,0.00811327
125,"#ThingsYouShouldNeverAssume when someone says she/he is okay or smile, maybe he/she doesn't wanna worry you.",,0.09908722,0.009122426,0.03766091,0.003671752,0.043412954,0.01008106
126,"#Repost @USER with get_repost ・・・ Those who love you are not fooled by mistakes you have made, or by dark images you hold about yourself. They remember your beauty when you feel… URL",,0.08915005,0.009438256,0.03852105,0.003702321,0.034707744,0.010393271
127,#1 Nick Gehlfuss stan just watched Friends! and she is not going to stop #tvtime URL,,0.046881653,0.007972272,0.027451448,0.0032728068,0.027147343,0.008927469
128,"#SEO #Tips: You are the master of your own fate online, so be wise and don't expect pity. If you screw up, nobody else is to blame.",,0.075468294,0.008366089,0.035287067,0.0034798936,0.035668142,0.011133184
129,#FortniteBattleRoyale #XboxShare @USER   Please ban this cheating scum.  he is literally invisible URL,,0.10109149,0.008690035,0.036093906,0.0035979797,0.036688797,0.011905437
130,#MAGA #Qanon #GreatAwakening #inners #WWG1WGA #NowComesThePain #WalkAway #GoodbyeDemocrats   Ellison Accuser Says She's Been Sidelined By Her Own Party URL,,0.09871263,0.010048108,0.03810515,0.0037341036,0.040331483,0.00984253
131,"#Truth I will show you how to build your own personal, online 'traffic economy' so you are never in short supply of qualified prospects and sales again URL URL",,0.09509767,0.008599865,0.041604534,0.0035978071,0.03551083,0.009321578
132,@USER Gun control? I'm wondering who was in control of all those bodies that got suicided because of you. You need to be controlled.  24/7/365 #GITMO THE PAIN IS COMING. #MAGA #QAnon #Benghazi  Hope they televise your demise.,,0.12832254,0.00930974,0.053697012,0.0036081704,0.060875453,0.009904748
133,#Antifa has a new cause URL,,0.08514823,0.009117349,0.038859036,0.0035085897,0.036367398,0.009943063
134,#Balkan Conservatives Unite at #Family Congress in #Moldova URL,,0.06521146,0.007768596,0.028771846,0.003322731,0.028330635,0.00835685
135,#BoycottNFL .@USER You are dead to me. @USER @USER URL,,0.07080376,0.008728861,0.03591635,0.0035873402,0.03243057,0.009651849
136,"@USER #WalkAwayFromAllDemocrats  Michelle was there 8 years and we sure don't need any more bad advice from her now. We have a new Sheriff in Town, who's  #MAGA.  Get out and VOTE - ALL COLORS, ALL GENDERS (AKA) ALL AMERICANS!!! URL",,0.08520322,0.009094795,0.03544212,0.0035425976,0.037893426,0.009209605
